,Case diameter,Dial,Code,Ref. No.,Waterproof,url,Gender,Brand,Bracelet color,Availability,Clasp,Case material,Location,Date,Price,Condition,Movement
With papers,36mm mm,,,15190SP,,http://www.chrono24.com/audemarspiguet/royal-oak-nick-faldo-limited-edition--id3384228.htm,,Audemars Piguet,,Available now,,Steel,"Italy, Fiaschetti di Caneva",,,1 (mint),Automatic
With papers,42 mm,Champagne,,26470ST.OO.A801CR.01,,http://www.chrono24.com/audemarspiguet/ap-royal-oak-offshore-chronograph---unworn--id4719815.htm,Men's watch/Unisex,Audemars Piguet,Brown,Available now,Jewelry clasp,Steel,"Poland, Warszawa",,,0 (unworn),Automatic
,44 mm,Silver,,26030IO.OO.D001IN.01,50 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-juan-pablo-montoya-titanium--id5027234.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,Titanium,"Germany, Düsseldorf",,,1 (mint),Automatic
With papers,,,,26470ST.OO.A027CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-neues-modell--id2782194.htm,,Audemars Piguet,Blue,Available now,Buckle,Steel,"Germany, Köln",,,0 (unworn),Automatic
With papers,37 mm,Silver,,26283ST.OO.D010CA.01,5 ATM,http://www.chrono24.com/audemarspiguet/mens-unisex-royal-oak-offshore-26283stood010ca01--id4363371.htm,Men's watch/Unisex,Audemars Piguet,White,Available now,Fold clasp,Steel,"Switzerland, Bäch",,,0 (unworn),Automatic
With box,33 mm,,1520_480,,,http://www.chrono24.com/audemarspiguet/john-schaeffer-ewiger-kalender-perpetual-calendar-limited-100--id5462483.htm,,Audemars Piguet,,Available now,Buckle,,"Germany, Pfungstadt",,,1 (mint),Manual winding
With papers,,,,15400OR.OO.D088CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-41mm-rosegold-inkl-19mwst-net-out-of-eu--id5415390.htm,,Audemars Piguet,,Available now,,,"Germany, München",,,0 (unworn),
With papers,39 mm,White,PAS117190,15300OR,3 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-solo-tempo-39mm-in-oro-rosa-18kt-ref-15300or--id5278823.htm,,Audemars Piguet,,Available now,,Pink gold,"Italy, BRESCIA",Date,,1 (mint),Automatic
With papers,,,,5115/17533,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--id4964275.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,Germany,,,3 (fair),
With papers,,,,H90365,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-diver-carbon--id4486533.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Carbon,Spain,,,1 (mint),Automatic
With papers,42 mm,,,26470ST.OO.A801CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-safari--id5611676.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Spain, Marbella",,,1 (mint),Automatic
With papers,,,,26401RO.OO.A002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-44mm-rose-gold-ceramic--id4974345.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Pink gold,"United Kingdom, Essex",,,1 (mint),Automatic
With papers,,,,28860 ST,,http://www.chrono24.com/audemarspiguet/royal-oak-25680st-anno-2003-boutique-full-set-box--paper--id5278009.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Italy, Fornacette (PI)",,,1 (mint),Automatic
With papers,41 mm,Black,,15400OR.D002CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-rosegold-unworn--id3463710.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,Pink gold,"Germany, Weißenhorn",Date,,0 (unworn),Automatic
With papers,42 mm,Black,,26176FO.OO.D101CR.02,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph--bumblebee--id5716764.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,Carbon,"Germany, Hannover",,,1 (mint),Automatic
,32 mm,,K10419,,,http://www.chrono24.com/audemarspiguet/gentleman-automatic-watch-18k-yellow-gold-bj-1995--id5278899.htm,,Audemars Piguet,Black,Available now,Buckle,Yellow gold,"Germany, München",,,1 (mint),Automatic
With papers,42 mm,Black,,15703ST.OO.A002CA.01,30 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-diver--id5630754.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Steel,Germany,,,2 (fine),Automatic
With papers,,,,Audemars Piguet Royal Oak,,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-extra-thin--id5153061.htm,,Audemars Piguet,,Available now,,,Italy,,,0 (unworn),
With papers,,,,26078RO.OOD001VS.01,,http://www.chrono24.com/audemarspiguet/rubens-barrichello-ii-offshore--id4726617.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"Germany, Frechen",,,1 (mint),Automatic
With papers,39 mm,White,,25820BA.OO.0944BA.02,Not Waterproof,http://www.chrono24.com/audemarspiguet/royal-oak-ewiger-kalender--lc-100--id4219480.htm,Men's watch/Unisex,Audemars Piguet,Gold,Available now,Fold clasp,Yellow gold,"Germany, Schwäbisch Gmünd/ Stuttgart / Koblenz",,,1 (mint),Automatic
With box,35 mm,Grey,,,,http://www.chrono24.com/audemarspiguet/royal-oak-two-tone--id5239428.htm,Men's watch/Unisex,Audemars Piguet,Gold/Steel,Available now,Buckle,Gold/Steel,"United Kingdom, Brighton",,,3 (fair),Automatic
With papers,42 mm,Black,99109200,15703ST.OO.A002CA.01,30 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-diver-box--papers--id5211963.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Steel,"United Kingdom, Essex",,,2 (fine),Automatic
With papers,44 mm,Silver,,25721 PT,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-platinum-piece-unique-25721--id3650597.htm,Men's watch/Unisex,Audemars Piguet,Silver,Available now,Double-fold clasp,Platinum,"Germany, München",,,1 (mint),Automatic
With papers,39 mm,Blue,,25860 ST,,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-crono--id5647728.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,Fold clasp,Steel,"Italy, Trento",,,1 (mint),Automatic
,,,,,,http://www.chrono24.com/audemarspiguet/lady-mit-besatz--id4535963.htm,,Audemars Piguet,,Available now,,,"Germany, Frankfurt",,,1 (mint),Manual winding
With papers,39 mm,Transparent,,15305ST.OO.1220ST.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-skeleton-auto-39mm-full-set-15305st--id5393364.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,Double-fold clasp,Steel,"United Kingdom, London or Paris - Worldwide shipping",,price on request,1 (mint),Automatic
With papers,41 mm,Black,ID1394,26320OR,,http://www.chrono24.com/audemarspiguet/royal-oak-cronografo-41mm-in-oro-rosa-18kt-ref-26320or--id5619101.htm,,Audemars Piguet,,Available now,Fold clasp,Pink gold,"Italy, BRESCIA",,,0 (unworn),Automatic
,,,,,,http://www.chrono24.com/audemarspiguet/royal-oak--id3798462.htm,Ladies' watch,Audemars Piguet,Gold,Available now,,Yellow gold,"Italy, Milano",,,3 (fair),Quartz
With papers,36 mm,Black,,,,http://www.chrono24.com/audemarspiguet/royal-oak-36mm-steel-military-box-papers--id5626811.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,,Steel,"France, Paris",,,1 (mint),Automatic
With box,33 mm,Silver,,67611,3 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-alinghi-lady-limited-edition--id5556784.htm,Ladies' watch,Audemars Piguet,White,Available now,Fold clasp,Steel,"Malta, San Giljan",Date,,2 (fine),Quartz
With papers,41 mm,,,15400ST.OO.1220ST.02,,http://www.chrono24.com/audemarspiguet/royal-oak-steel-silver-dial-41mm--id5063160.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,,Steel,"United Kingdom, London",Date,,1 (mint),Automatic
With papers,41 mm,Silver,,26574OR.OO.1220OR.01,2 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-perpetual-calendar-rose-gold-26574or--id4576970.htm,Men's watch/Unisex,Audemars Piguet,Gold,Available now,Fold clasp,Pink gold,"Switzerland, Geneva  (www.k2luxury.ch)",,"$73,000",0 (unworn),Automatic
With papers,39 mm,,,26300ST.OO.1110ST.05,,http://www.chrono24.com/audemarspiguet/ap-royal-oak-chronograph-39mm--id5279961.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,Double-fold clasp,Steel,"Poland, Warszawa",,,1 (mint),Automatic
With papers,44 mm,White,ARUM-RA1735-id1553,25940SK.OO.D002CA.02.A,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak--id2536930.htm,,Audemars Piguet,,Available now,Fold clasp,Steel,"Spain, Madrid",,,,Automatic
,38 mm,,,11120,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-montoya--id5545100.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Titanium,"France, Paris",,,1 (mint),Automatic
With papers,39 mm,Silver,,10573,,http://www.chrono24.com/audemarspiguet/royal-oak--id4298518.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,Fold clasp,Steel,"France, Paris",Date,,1 (mint),Automatic
With papers,44 mm,Blue,,25721ST,,http://www.chrono24.com/audemarspiguet/royal-oak-off-shore-full-set--id4350736.htm,,Audemars Piguet,Steel,Available now,Double-fold clasp,Steel,"Italy, Caserta",,,1 (mint),Automatic
With box,,,S8500003940,26020ST.00.D001 - 26020ST.OO.D001IN.01.A,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-themes-special-edition-from-2008--id5689337.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,Steel,"Netherlands, Maastricht",,,1 (mint),Automatic
With papers,44 mm,Silver,,25940SK.OO.D002CA.01.A,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-acier--id2354780.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Double-fold clasp,Steel,"Portugal, Lisboa",,,1 (mint),Automatic
With papers,39 mm,Blue,207,25820PT,,http://www.chrono24.com/audemarspiguet/royal-oak-perpetual-calendar-full-platinum-25820pt--id4883802.htm,Men's watch/Unisex,Audemars Piguet,,Available now,Fold clasp,Platinum,"Monaco, Monaco",,,0 (unworn),Automatic
,,,,,,http://www.chrono24.com/audemarspiguet/quantieme-perpetuel--id3146822.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Yellow gold,"Germany, Wiesbaden",,,2 (fine),Automatic
With papers,39 mm,Black,,15400,,http://www.chrono24.com/audemarspiguet/royal-oak-cadran-noir--id3918882.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,,Steel,"France, bastia",Date,,1 (mint),Automatic
With papers,41 mm,Black,,26320ST.OO.1220ST.02,,http://www.chrono24.com/audemarspiguet/royal-oak-new--id3281815.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,"Fold clasp, hidden",Steel,"Italy, roma",,,1 (mint),Automatic
With papers,44 mm,White,,15400ST.OO.1220ST.02,,http://www.chrono24.com/audemarspiguet/royal-oak--id4846690.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,"Fold clasp, hidden",Steel,"Italy, ZEVIO",,,0 (unworn),Automatic
With papers,,,,25749BA,,http://www.chrono24.com/audemarspiguet/quantieme-perpetuel-18k-gold-mens-manual-wind-watch--id5051776.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Yellow gold,"United Kingdom, Shrewsbury",,,2 (fine),Manual winding
With papers,,,,15703ST.OO.A002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-diver--id5215337.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Steel,Switzerland,,,1 (mint),Automatic
With papers,,,,26401RO.OO.A002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-rose-gold-ceramic-44mm--id5018270.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"United Kingdom, Essex",,,0 (unworn),Automatic
With papers,,,,26320OR.OO.D002CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-chronograph-rose-gold--id5494265.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"United Kingdom, Essex",,,1 (mint),Automatic
With papers,42 mm,Black,902,26191BC,,http://www.chrono24.com/audemarspiguet/royal-oak-las-vegas-strip---ref-26191bc--id5660848.htm,Men's watch/Unisex,Audemars Piguet,,Available now,Fold clasp,,"France, PARIS",,,1 (mint),Automatic
With papers,39 mm,,,14802ST,,http://www.chrono24.com/audemarspiguet/royal-oak-jubilee-14802st-limited-edition-20th-anniversary--id5465128.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,,Steel,"Italy, Castel Mella (BRESCIA)",Date,,1 (mint),Automatic
With papers,48 mm,,,26378IO.OO.A001KE.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-the-legacy-schwarzenegger--id5611771.htm,Men's watch/Unisex,Audemars Piguet,,Available now,Buckle,Ceramic,"Spain, Marbella",,,1 (mint),Automatic
With papers,,,,AP30051-00790,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--id2416216.htm,Ladies' watch,Audemars Piguet,White,Available now,,Steel,Germany,,,1 (mint),Automatic
With papers,20 mm,Mother of pearl,,67076BA/Z/1100BA/02,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak--id4603435.htm,Ladies' watch,Audemars Piguet,Gold,Available now,Double-fold clasp,Yellow gold,"Netherlands, Amsterdam",,,1 (mint),Quartz
With papers,41 mm,White,,26320ST,,http://www.chrono24.com/audemarspiguet/kasparov-41mm-ref-26320st--id3408034.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,,Steel,"France, bastia",,,0 (unworn),Automatic
With papers,,,,15400ST,,http://www.chrono24.com/audemarspiguet/royal-oak-15400st--id4936893.htm,,Audemars Piguet,,Available now,,Steel,"Monaco, Monaco",,,0 (unworn),
With box,36 mm,White,160972,,,http://www.chrono24.com/audemarspiguet/18k-gold-gmt-gangreserve-dual-time-herrenuhr--id4499182.htm,Men's watch/Unisex,Audemars Piguet,,Available now,Buckle,,"Germany, Chemnitz",,,,Automatic
With papers,41 mm,,,15400OR.OO.D088CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-rose-gold-41mm-white-dial--id5174881.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Pink gold,"United Kingdom, London",,,0 (unworn),Automatic
With papers,44 mm,Black,1712,26400RO.OO.A002CA.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-rosegold-26400roooa002ca01--id5329672.htm,,Audemars Piguet,,Available now,,Pink gold,"Germany, Berlin",,,1 (mint),Automatic
,18 mm,Silver,28071505,67364BA.ZZ.1156BA.02,,http://www.chrono24.com/audemarspiguet/18k-ygold-silver-mirror-dial-promesse-67364bazz1156ba02--id3519191.htm,Ladies' watch,Audemars Piguet,Gold,Available now,Double-fold clasp,Yellow gold,"United Kingdom, London",,,2 (fine),Quartz
,41 mm,Black,OW500446,26320OR.OO.1220OR.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-chronograph-41mm---26320oroo1220or01--id5651489.htm,,Audemars Piguet,Gold,Available now,Double-fold clasp,Pink gold,"United Kingdom, London",,price on request,0 (unworn),Automatic
,44 mm,Black,OW500397,26401RO.OO.A002CA.01,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore---26401roooa002ca01--id5680227.htm,,Audemars Piguet,Black,Available now,Buckle,Pink gold,"United Kingdom, London",,price on request,0 (unworn),Automatic
With papers,39 mm,Silver,,15300ST.OO.1220ST.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-39mm-15300stoo1220st01-fully-serviced-2016--id5371084.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,Double-fold clasp,Steel,"Germany, Köln",Date,,1 (mint),Automatic
,24 mm,Grey,5921ap,,,http://www.chrono24.com/audemarspiguet/royal-oak--id3052955.htm,,Audemars Piguet,Gold,Available now,,Yellow gold,"Germany, München",,,1 (mint),Quartz
With papers,42 mm,Black,PAS115712,26470ST,10 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-cronografo-in-acciaio-42mm-ref-26470st--id5409307.htm,,Audemars Piguet,,Available now,Buckle,Steel,"Italy, BRESCIA",,,0 (unworn),Automatic
With papers,38 x 40 mm,Black,,15016ST/O/0642/01,30 ATM,http://www.chrono24.com/audemarspiguet/millenary--id5436823.htm,Men's watch/Unisex,Audemars Piguet,Brown,Available now,Buckle,Steel,France,,,0 (unworn),Automatic
,36 mm,Black,GTC-1060,15190SP.OO.0789SP.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-nick-faldo--id2408263.htm,Men's watch/Unisex,Audemars Piguet,Steel,Available now,"Fold clasp, hidden",Steel,"UAE, Dubai",Date,price on request,1 (mint),Automatic
With papers,,,,25721,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--id5386968.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Buckle,Titanium,"Germany, Rosenheim",Date,,2 (fine),Automatic
With papers,,,,15400ST,,http://www.chrono24.com/audemarspiguet/royal-oak--id5618887.htm,Men's watch/Unisex,Audemars Piguet,,Available now,,Steel,"Italy, Roma",,,1 (mint),Automatic
With papers,39 mm,Silver,,26561BC.OO.D002CR.01,2 ATM,http://www.chrono24.com/audemarspiguet/jules-audemars-tourbillon--id5182578.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Fold clasp,White gold,"Germany, Kleinmachnow",,,0 (unworn),Automatic
With papers,42 mm,Black,,26020ST.OO.D101CR.01,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-black-themes-mint--id3268739.htm,Men's watch/Unisex,Audemars Piguet,Black,On request,Fold clasp,Steel,"United States, New York, New York",,price on request,1 (mint),Automatic
With papers,42 mm,Silver,Safari_26170ST.OO.D091CR.01,26170ST.OO.D091CR.01,10 ATM,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-offshore-chronograph--safari-26170stood091cr01--id4814139.htm,Men's watch/Unisex,Audemars Piguet,,Ready to ship in 3-5 days,,Steel,"Switzerland, Basel",,"$15,850",0 (unworn),Automatic
With box,36 mm,White,CDC24505,,,http://www.chrono24.com/audemarspiguet/gents-18k-rose-gold--quantieme-perpetual-calendar-automatique-strapwatch--id1897295.htm,Men's watch/Unisex,Audemars Piguet,Brown,On request,Buckle,Pink gold,"United States, Georgia, Atlanta",,price on request,1 (mint),Automatic
With box,40 mm,,AP79420BCZZ9190BC01,79420BC.ZZ.9190BC.01,,http://www.chrono24.com/audemarspiguet/haute-joaillerie-diamond-fury-18-carat-white-gold-diamond-pave-dial-ladies-18-carat-white-gold-watch--id4885369.htm,Ladies' watch,Audemars Piguet,,On request,,White gold,"United States, New York, Brooklyn NY",,"$554,886",0 (unworn),Quartz
With box,48 mm,,AP26215ORZZA801CR01,26215OR.ZZ.A801CR.01,20 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--id4203440.htm,Men's watch/Unisex,Audemars Piguet,,On request,Buckle,Pink gold,"United States, New York, Brooklyn NY",,"$155,556",0 (unworn),Automatic
With box,39.5 mm,Black,AP77249ORZZA205CR01,77249OR.ZZ.A205CR.01,20 ATM,http://www.chrono24.com/audemarspiguet/millenary--id4203419.htm,Ladies' watch,Audemars Piguet,Beige,On request,Buckle,Pink gold,"United States, New York, Brooklyn NY",,"$69,995",0 (unworn),Manual winding
With box,44 mm,,AP26403BCZZ8044BC01,26403BC.ZZ.8044BC.01,20 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--id4203444.htm,Men's watch/Unisex,Audemars Piguet,,On request,,White gold,"United States, New York, Brooklyn NY",,"$1,485,612",0 (unworn),Automatic
With box,44 mm,,AP26571ROOOA010CA01,26571RO.OO.A010CA.01,2 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--id3253775.htm,Men's watch/Unisex,Audemars Piguet,White,On request,Buckle,Pink gold,"United States, New York, Brooklyn NY",,"$735,072",0 (unworn),Automatic
With box,29.2 x 48.8 mm,,AP25924PTOOD002CR01,25924PT.OO.D002CR.01,2 ATM,http://www.chrono24.com/audemarspiguet/edward-piguet--id5261300.htm,Men's watch/Unisex,Audemars Piguet,Black,On request,Fold clasp,White gold,"United States, New York, Brooklyn NY",,"$303,000",0 (unworn),Manual winding
With box,27 mm,Silver,AP77208BCOOA001CR01,77208BC.OO.A001CR.01,2 ATM,http://www.chrono24.com/audemarspiguet/jules-audemars--id3796365.htm,Ladies' watch,Audemars Piguet,Black,On request,Buckle,White gold,"United States, New York, Brooklyn NY",,"$11,454",0 (unworn),Manual winding
With papers,20 x 35 mm,Blue,MT28507,67259ST/Z/1156ST/03,3 ATM,http://www.chrono24.com/audemarspiguet/promesse--id4499595.htm,,Audemars Piguet,Steel,Available now,Double-fold clasp,Steel,"Belgium, Brussel",,,1 (mint),Quartz
With papers,,Black,,25979ST/O/0002CA/01,10 ATM,http://www.chrono24.com/audemarspiguet/alinghi-crono-acciaio-the-real-alinghi-first-edition--id5455515.htm,Men's watch/Unisex,Audemars Piguet,Black,Available now,Double-fold clasp,Steel,"Italy, Roma",,price on request,1 (mint),Automatic
With papers,41 mm,White,4433,15400OR.OO.D088CR.01,5 ATM,http://www.chrono24.com/audemarspiguet/royal-oak-15400orood088cr01-red-gold-leather-41mm--id5725865.htm,Men's watch/Unisex,Audemars Piguet,Brown,Available now,Fold clasp,Red gold,"Switzerland, Lugano",,,0 (unworn),Automatic
